день;пара;адрес;группа;предмет;преподаватель;режим занятия;
Вторник;первая;10:00-11:30 303/2 ауд. Кронверкский пр., д.49, лит. А;P3111;Информатика(Лаб);Малышева Татьяная Сергеевна;Очно - дистанционный;
Вторник;вторая;11:40-13:10 303/2 ауд. Кронверкский пр., д.49, лит. А;P3111;Информатика(Лаб);Малышева Татьяная Сергеевна;Очно - дистанционный;
